RecipeId,Name,CookTime,PrepTime,TotalTime,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeInstructions,DishID
128908,Chicken Tandoori,35,20,55,"c(""skinless chicken breasts"", ""plain low-fat yogurt"", ""fresh lemon juice"", ""garlic cloves"", ""fresh ginger"", ""ground coriander"", ""ground cumin"", ""paprika"", ""cayenne pepper"", ""whole cumin seeds"", ""caraway seed"", ""margarine"", ""lettuce leaf"", ""green chili"", ""lime wedge"", ""radish"")",396,7.5,1.6,69.4,154.8,2.4,0.3,1.2,28.4,"c(""Lightly score breasts."", ""In a small bowl, combine yogurt, lemon juice, garlic, ginger, coriander, cumin, paprika, cayenne pepper and whole cumin or caraway- Blend thoroughly."", ""Using a pastry brush, brush generously over breasts."", ""Cover and refrigerate 12 hours or overnight."", ""Place breasts on a non-stick sprayed shallow baking pan and drizzle with melted margarine."", ""Bake at 500 degrees for 8 to 10 minutes then at 350 degrees until breasts are done, about 20 to 25 minutes."", ""Arrange breasts on lettuce leaves and garlish with chilies, lime wedges and radishes.""
)",12
149528,Samosa,30,30,60,"c(""potatoes"", ""carrot"", ""onion"", ""frozen green peas"", ""ground cumin"", ""ground coriander"", ""chili powder"", ""ground turmeric"", ""garlic clove"", ""fresh cilantro"", ""table salt"", ""black pepper"", ""phyllo dough"")",337,0.4,0.1,0.0,148.1,7.6,1.0,0.7,1.1,"c(""Cook potatoes and carrot in boiling, salted water until tender - about 10 minutes. Drain and partially mash them."", ""Mist non-stick frying pan with cooking spray. Sauté onion until softened, about 2 minutes."", ""Stir onion, peas, cumin, ground coriander, chilli powder, turmeric, garlic puree and fresh coriander or mint into potatoes and carrots. Season to taste. Cool completely."", ""Preheat oven to Gas Mark 4/180°C/350°F Mist baking sheets with spray cooking oil."", ""Cut filo pastry sheets into strips, measuring approximately 30 cm x 10 cm (12 inches x 4 inches)."", 
""Place a tablespoon of mixture at one end of a pastry strip. Fold over and over to make a triangle. Repeat to make 20 samosas."", ""Mist with cooking spray, place onto baking sheets and bake for 25 - 30 minutes, until golden."")",19
158777,Saag Paneer,45,15,60,"c(""onion"", ""garlic cloves"", ""fresh ginger"", ""frozen spinach"", ""plain yogurt"", ""buttermilk"", ""red chili powder"", ""garam masala"", ""half-and-half"", ""paneer cheese"", ""salt"")",394,10.4,6.2,31.5,182.9,19.0,4.7,7.2,10.2,"c(""Grind the onion, garlic, and ginger into a fine paste."", ""In a medium saucepan, combine the paste, spinach, yogurt, buttermilk, chili powder, and garam masala."", ""Simmer at medium heat for 20 to 30 minutes."", ""Mash the ingredients with a potato masher."", ""Add the half and half. Simmer until the mixture has a creamy consistency, 10 to 15 minutes."", ""Add the cheese, simmer 5 minutes. Season with salt."")",34
187233,Kofta,15,20,35,"c(""lean ground beef"", ""onion"", ""garlic cloves"", ""cumin"", ""sweet paprika"", ""ground cinnamon"", ""oregano"", ""hot paprika"", ""cayenne"", ""salt"", ""black pepper"")",348,7.9,3.1,49.1,439.9,3.2,1.0,0.7,15.7,"c(""Combine the onions and garlic with the beef and begin to knead."", ""Add the spices and knead with wet hands for 10 to fifteen minutes, or until it is very VERY smooth."", ""Mold into small sausage shapes."", ""Either cook on the grill for about 10 minutes, or broil in the oven for fifteen."", ""Great with tomato and cucumber salad, pita bread, hummus, yogurt and cucumber salad -- ."")",30
294841,Ribollita,64,20,84,"c(""bacon"", ""extra virgin olive oil"", ""onion"", ""celery"", ""carrots"", ""garlic cloves"", ""baking potato"", ""diced tomatoes"", ""dry red wine"", ""low sodium beef broth"", ""cannellini beans"", ""swiss chard"", ""kosher salt"", ""fresh ground black pepper"", ""pesto sauce"")",389,5.7,1.4,2.7,1488.5,66.9,8.3,7.5,15.8,"c(""Place a Dutch oven or a soup pot over medium heat.  Add the bacon and cook until browned, 2 to 3 minutes.  Add the oil and onion and cook until translucent, about 4 minutes.  Add the celery, carrots, and garlic and cook until softened, about 5 minutes.  Add the potato and cook until it has started to soften, about 6 minutes."", ""Add the tomatoes, wine, broth, beans, and 2 cups of water.  Place the Swiss chard on top, cover, and bring to a boil.  Uncover, stir to combine, and simmer gently for 45 minutes.  Remove from heat.  Stir in the salt and pepper gently to combine.  (At this point the soup can be chilled for reheating and serving the next day.)."", 
""Divide the bread among serving bowls.  Ladle the hot soup over the bread and finish with a drizzle of olive oil or pesto, if desired."")",36
302571,Paratha,20,15,35,"c(""wheat flour"", ""salt"", ""water"")",311,28.7,4.3,0.0,4.0,58.1,9.8,0.3,11.0,"c(""Mix flour salt & required water to make a dough consistency.Rub oil over & knead it soft .Let it rest for an hour."", ""With a help of a rolling pin take a lemon sized dough ."", ""Roll it to a a small round  & apply some oil to it."", ""Fold into two  again fold the same. Start rolling to form a triangle."", ""Heat a flat pan ,when it gets hot add the paratha and let it cook for a minute."", ""When it starts to get small bubbles turn around & add a small teasp of oil around the paratha. When the brown spots appear take it out & keep it in an in a covered box & serve.""
)",18
306537,Kulcha,30,15,45,"c(""refined flour"", ""salt"", ""bicarbonate of soda"", ""skim milk"", ""low-fat plain yogurt"")",317,0.9,0.2,0.6,118.0,66.0,2.2,2.1,9.4,"c(""Sieve refined flour along with salt and soda bicarbonate into a bowl. Add milk and yogurt and mix. Add sufficient water and knead into a soft dough. Cover with a damp cloth and set aside for fifteen minutes."", ""Divide into eight equal portions.Further roll into a round disc as thin as possible."", ""Heat a pressure cooker. Apply a little water on one side of the kulcha and stick onto the inner wall of the cooker. Similarly stick on two more kulchas. Cook on medium heat for two to three minutes."", 
""Keep the cooker open side down on the flame and cook so that both the sides of the kulchas get cooked. Remove the kulchas with a tong and serve hot."")",21
347306,Fried Noodles,6,10,16,"c(""canola oil"", ""soy sauce"", ""garlic clove"", ""fresh ginger"")",333,13.9,1.2,0.0,1005.5,1.0,0.1,0.3,1.9,"c(""Heat oils together in pan."", ""Add noodles and fry for about 3 minutes, over med-high heat."", ""Add veggies if using."", ""Add soy sauce as evenly through the mixture as you can."", ""Add garlic and ginger if using."", ""fry 2 or 3 more minutes more while mixing with your spatula."", ""When it seems done to you, remove from heat and serve!"")",10
381154,Shawarma,10,1470,1480,"c(""lamb stew meat"", ""garlic cloves"", ""mace"", ""salt"", ""cayenne pepper"", ""paprika"", ""cinnamon"", ""cumin"", ""lemon"", ""yogurt"", ""garlic clove"", ""lemon juice"", ""salt"", ""tahini"", ""cold water"", ""fresh parsley"", ""olive oil"", ""tomatoes"", ""cucumber"", ""onion"")",358,28.9,8.9,248.8,902.7,37.9,4.0,5.0,84.4,"c(""Cube lamb into approximately 2 inch cubes."", ""Combine marinade ingredients, mix with meat & place in the refrigerator to marinade 12 - 24 hrs."", ""Broil meat on foil lined pan about 5 minutes per side (should still have a little pink in the center, when done)."", ""Mix Tahini dressing ingredients while meat is cooking."", ""Tahini & water are 1:1 ratio.  Salt & lemon are to taste."", ""Once meat is cool, chop, then add 1 T olive oil, parsley, dash of."", ""hot sauce, salt & pepper to taste.  Mix well."", 
""In a dry, hot skillet, warm meat."", ""Place meat in pitas with a little dressing drizzled over."", ""Garnish with chopped tomato, chopped cucumber, & a little onion, if desired."", ""Prep time includes marinade time in the refrigerator."")",5
400292,Curry,20,15,35,"c(""chicken"", ""chicken broth"", ""potatoes"", ""carrots"", ""green peas"", ""onion"", ""curry"", ""apple"", ""milk"")",344,0.2,0.0,0.0,20.1,9.8,2.0,2.4,1.3,"c(""In a skillet, with oil, cook chicken then add onions."", ""When finished, transfer to a a pot with chicken broth."", ""When warm add the potatoes and carrots."", ""Then add curry, let it boil."", ""Then add the green peas and milk. Let it boil."")",14
424098,Chicken Biriyani,55,15,70,"c(""long grain rice"", ""garlic cloves"", ""cinnamon stick"", ""bay leaf"", ""yellow onion"", ""fresh ginger"", ""ground ginger"", ""lemon juice"", ""ground cumin"", ""turmeric"", ""ground cinnamon"", ""ground cloves"", ""cardamom"", ""black pepper"", ""plain low-fat yogurt"", ""chicken"", ""red cabbage"", ""green apple"")",398,1.4,0.7,3.7,56.4,40.5,2.6,10.2,6.5,"c(""Preheat oven to 350 degrees. Cook the rice according to package directions, omitting the salt but adding 2 of the garlic cloves, the cinammon stick and the bay leaf. When rice is done, discard the garlic, cinnamon and bay leaf."", ""Meanwhile, in a blender or food processor, make a paste of the onion, ginger, lemon juice, cumin, coriander, turmeric, cinnamon, cloves, cardamom, pepper and remaining garlic by blending for 10 to 15 seconds."", ""Transfer the past to a large bowl and blend in the hyogurt. Add teh chicken, tossing to coat well."", 
""Place the rice in an ungreased shallow 1 1/2 quart casserole, spoon the chicken mixture on top, cover, and bake for 35 minutes. Toward the end of the baking period, steam the cabbage for 10 minutes over boiling water until it is tender but still crisp."", ""Cluster the cabbage and apple in the center of the biriyani casserole. Serve immediately."")",11
